Activity	HOR RANGE	VER RANGE	HOR MEAN	VER MEAN	HOR STD DEV	VER STD DEV	
CLASSIFIED/WALKING	4.81808	8.144707	1.8280841	10.008209	0.94648504	1.8047607	
CLASSIFIED/WALKING	5.635951	6.9698625	1.8552035	10.033057	0.95929974	1.4819746	
CLASSIFIED/WALKING	4.174198	8.126472	1.7443963	10.073593	0.9051639	1.5725973	
CLASSIFIED/WALKING	3.741339	7.260922	1.7779638	9.950601	0.837803	1.548758	
CLASSIFIED/WALKING	9.374378	16.860035	4.6383376	7.426185	3.0752723	4.0024557	
CLASSIFIED/WALKING	5.8194036	13.996082	1.8864566	9.977444	1.3145405	3.8210776	
CLASSIFIED/WALKING	5.251194	13.86997	1.8131378	10.332473	1.2084924	3.747433	
CLASSIFIED/WALKING	4.452602	14.146775	1.6182318	10.504464	1.1005049	3.8272278	
CLASSIFIED/WALKING	6.661831	14.393685	1.9632193	10.62264	1.5183253	3.9253635	
CLASSIFIED/WALKING	5.8034425	15.194881	1.8682781	10.614772	1.2969733	3.777713	
CLASSIFIED/WALKING	6.174834	14.287084	1.880041	10.695624	1.2734356	3.885796	
CLASSIFIED/WALKING	9.374378	16.860035	4.6383376	7.426185	3.0752723	4.0024557	
CLASSIFIED/WALKING	5.8194036	13.996082	1.8864566	9.977444	1.3145405	3.8210776	
CLASSIFIED/WALKING	5.251194	13.86997	1.8131378	10.332473	1.2084924	3.747433	
CLASSIFIED/WALKING	4.452602	14.146775	1.6182318	10.504464	1.1005049	3.8272278	
CLASSIFIED/WALKING	9.374378	16.860035	4.6383376	7.426185	3.0752723	4.0024557	
CLASSIFIED/WALKING	5.8194036	13.996082	1.8864566	9.977444	1.3145405	3.8210776	
CLASSIFIED/WALKING	5.251194	13.86997	1.8131378	10.332473	1.2084924	3.747433	
CLASSIFIED/WALKING	4.452602	14.146775	1.6182318	10.504464	1.1005049	3.8272278	
CLASSIFIED/WALKING	6.661831	14.393685	1.9632193	10.62264	1.5183253	3.9253635	
CLASSIFIED/WALKING	5.8034425	15.194881	1.8682781	10.614772	1.2969733	3.777713	
CLASSIFIED/WALKING	6.174834	14.287084	1.880041	10.695624	1.2734356	3.885796	
CLASSIFIED/WALKING	1.443778	0.7128048	0.26591325	9.737791	0.35312515	0.087266184	
CLASSIFIED/WALKING	0.0	0.0	2.396077E-6	9.734433	0.0	0.0	
CLASSIFIED/WALKING	0.0	0.0	2.396077E-6	9.734433	0.0	0.0	
CLASSIFIED/WALKING	0.0	0.0	2.396077E-6	9.734433	0.0	0.0	
CLASSIFIED/WALKING	9.374378	16.860035	4.6383376	7.426185	3.0752723	4.0024557	
CLASSIFIED/WALKING	5.8194036	13.996082	1.8864566	9.977444	1.3145405	3.8210776	
CLASSIFIED/WALKING	5.251194	13.86997	1.8131378	10.332473	1.2084924	3.747433	
CLASSIFIED/WALKING	4.452602	14.146775	1.6182318	10.504464	1.1005049	3.8272278	
CLASSIFIED/WALKING	6.661831	14.393685	1.9632193	10.62264	1.5183253	3.9253635	
CLASSIFIED/WALKING	5.8034425	15.194881	1.8682781	10.614772	1.2969733	3.777713	
